NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,
GO_MITOTIC_CHROMOSOME_CONDENSATION,GO_MITOTIC_CHROMOSOME_CONDENSATION,Details ...,16,0.59074736,1.7797997,0.0,1.0,0.626,2780,"tags=50%, list=17%, signal=60%",
GO_PROTEIN_TARGETING_TO_MEMBRANE,GO_PROTEIN_TARGETING_TO_MEMBRANE,Details ...,182,0.45543167,1.7760546,0.0,1.0,0.681,2938,"tags=48%, list=18%, signal=58%",
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,Details ...,113,0.67056084,1.7081466,0.0,1.0,0.888,2613,"tags=67%, list=16%, signal=80%",
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,Details ...,68,0.57630247,1.6947132,0.0,1.0,0.888,4238,"tags=62%, list=26%, signal=84%",
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,Details ...,116,0.6903801,1.6798866,0.0,1.0,0.949,2273,"tags=66%, list=14%, signal=76%",
REACTOME_SELENOAMINO_ACID_METABOLISM,REACTOME_SELENOAMINO_ACID_METABOLISM,Details ...,110,0.6896587,1.6794311,0.0,1.0,0.949,3189,"tags=77%, list=20%, signal=96%",
REACTOME_INFLUENZA_INFECTION,REACTOME_INFLUENZA_INFECTION,Details ...,149,0.63765895,1.6748781,0.0,1.0,0.949,3418,"tags=68%, list=21%, signal=85%",
GO_CYTOSOLIC_RIBOSOME,GO_CYTOSOLIC_RIBOSOME,Details ...,101,0.7311016,1.6728421,0.0,1.0,0.949,3322,"tags=82%, list=21%, signal=103%",
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,Details ...,137,0.5854746,1.6696575,0.0,1.0,0.949,3022,"tags=61%, list=19%, signal=74%",
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Details ...,100,0.7183134,1.6687434,0.0,1.0,0.949,3022,"tags=80%, list=19%, signal=98%",
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,Details ...,162,0.59213036,1.6673508,0.0,1.0,0.949,3894,"tags=68%, list=24%, signal=89%",
KEGG_TRYPTOPHAN_METABOLISM,KEGG_TRYPTOPHAN_METABOLISM,Details ...,28,0.5684444,1.6632843,0.0,1.0,0.949,1723,"tags=36%, list=11%, signal=40%",
REACTOME_DNA_REPLICATION,REACTOME_DNA_REPLICATION,Details ...,123,0.6017538,1.661834,0.0,1.0,0.949,4333,"tags=67%, list=27%, signal=92%",
GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GO_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,Details ...,39,0.78011274,1.6576998,0.0,1.0,0.949,3179,"tags=90%, list=20%, signal=112%",
REACTOME_DNA_REPLICATION_PRE_INITIATION,REACTOME_DNA_REPLICATION_PRE_INITIATION,Details ...,81,0.59644544,1.6547371,0.0,1.0,0.949,4238,"tags=65%, list=26%, signal=88%",
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Details ...,107,0.71215796,1.6516135,0.0,1.0,0.949,3805,"tags=88%, list=24%, signal=114%",
GO_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY,GO_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY,Details ...,21,0.73397326,1.6509057,0.0,1.0,0.949,2012,"tags=67%, list=13%, signal=76%",
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,Details ...,111,0.6911343,1.6504362,0.0,1.0,0.949,3189,"tags=74%, list=20%, signal=92%",
REACTOME_APC_C:CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C:CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C:CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C:CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,Details ...,69,0.54405963,1.6477867,0.0,1.0,0.949,4333,"tags=58%, list=27%, signal=79%",
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,Details ...,87,0.54866046,1.6459413,0.0,1.0,0.949,4333,"tags=60%, list=27%, signal=81%",
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,,56,0.70907176,1.6417382,0.0,1.0,0.949,3290,"tags=82%, list=20%, signal=103%",
GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION,GO_CADHERIN_BINDING_INVOLVED_IN_CELL_CELL_ADHESION,,16,0.68077433,1.6386893,0.0,1.0,0.949,3392,"tags=63%, list=21%, signal=79%",
REACTOME_CHROMOSOME_MAINTENANCE,REACTOME_CHROMOSOME_MAINTENANCE,,68,0.6317313,1.6373875,0.0,0.97514486,0.949,2839,"tags=62%, list=18%, signal=75%",
GO_RIBOSOMAL_SUBUNIT,GO_RIBOSOMAL_SUBUNIT,,178,0.6262547,1.6371536,0.10707071,0.9388105,0.949,4473,"tags=75%, list=28%, signal=102%",
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,,58,0.56440496,1.6353734,0.0,0.92422706,0.949,4213,"tags=57%, list=26%, signal=77%",
REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC,REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC,,91,0.7385236,1.6322262,0.0,0.9258224,0.949,3189,"tags=85%, list=20%, signal=105%",
GO_TRANSLESION_SYNTHESIS,GO_TRANSLESION_SYNTHESIS,,38,0.55441654,1.6320727,0.0,0.89673257,0.949,4205,"tags=58%, list=26%, signal=78%",
GO_SMALL_RIBOSOMAL_SUBUNIT,GO_SMALL_RIBOSOMAL_SUBUNIT,,66,0.64993435,1.6315503,0.10707071,0.87105864,0.949,4222,"tags=76%, list=26%, signal=102%",
GO_VIRAL_GENE_EXPRESSION,GO_VIRAL_GENE_EXPRESSION,,182,0.5824398,1.6311529,0.0,0.84600216,0.949,3418,"tags=60%, list=21%, signal=75%",
GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,GO_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,,152,0.6514354,1.6305692,0.10772358,0.82455987,0.949,4457,"tags=81%, list=28%, signal=111%",
GO_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS,GO_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS,,15,0.6371554,1.6297874,0.0,0.81055206,0.949,2386,"tags=53%, list=15%, signal=63%",
PID_FOXM1_PATHWAY,PID_FOXM1_PATHWAY,,38,0.52038956,1.6250149,0.0,0.8253864,0.949,2866,"tags=58%, list=18%, signal=70%",
GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS,GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS,,79,0.55174196,1.6234596,0.0,0.81717855,0.949,4333,"tags=59%, list=27%, signal=81%",
REACTOME_S_PHASE,REACTOME_S_PHASE,,156,0.5668772,1.6233041,0.0,0.7979467,0.949,4238,"tags=62%, list=26%, signal=84%",
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,,113,0.7179256,1.6231728,0.0,0.7787099,0.949,3322,"tags=82%, list=21%, signal=103%",
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C:CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,REACTOME_ACTIVATION_OF_APC_C_AND_APC_C:CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,,73,0.56430864,1.6217786,0.0,0.7707391,0.949,4333,"tags=60%, list=27%, signal=82%",
KEGG_RIBOSOME,KEGG_RIBOSOME,,83,0.75981414,1.6208894,0.0,0.7586885,0.949,3189,"tags=90%, list=20%, signal=112%",
REACTOME_DNA_DAMAGE_BYPASS,REACTOME_DNA_DAMAGE_BYPASS,,46,0.5972545,1.6184175,0.0,0.75959736,0.949,4205,"tags=61%, list=26%, signal=82%",
REACTOME_MITOTIC_G1_G1_S_PHASES,REACTOME_MITOTIC_G1_G1_S_PHASES,,146,0.5219592,1.6168941,0.08232932,0.75206316,0.949,4238,"tags=56%, list=26%, signal=76%",
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,,26,0.44266152,1.6136179,0.1121673,0.75844187,0.949,4392,"tags=58%, list=27%, signal=79%",
PID_AURORA_B_PATHWAY,PID_AURORA_B_PATHWAY,,35,0.61187506,1.6118859,0.0,0.76132864,0.949,1942,"tags=51%, list=12%, signal=58%",
GO_LARGE_RIBOSOMAL_SUBUNIT,GO_LARGE_RIBOSOMAL_SUBUNIT,,114,0.61399156,1.6092335,0.22626263,0.7627462,0.949,4473,"tags=74%, list=28%, signal=101%",
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,,197,0.6515986,1.6081469,0.0,0.7557583,0.949,3632,"tags=69%, list=23%, signal=88%",
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,,37,0.5902229,1.6056881,0.0,0.76266956,0.949,4205,"tags=59%, list=26%, signal=80%",
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,,191,0.5655637,1.6047944,0.0,0.7535128,0.949,4737,"tags=69%, list=30%, signal=96%",
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX,REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX,,65,0.56721973,1.6022959,0.0,0.75845146,1.0,4238,"tags=62%, list=26%, signal=83%",
GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION,GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION,,27,0.42562202,1.6018369,0.0,0.7489872,1.0,3251,"tags=48%, list=20%, signal=60%",
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,,37,0.6525177,1.5982993,0.08282828,0.7668367,1.0,3488,"tags=70%, list=22%, signal=90%",
GO_RRNA_BINDING,GO_RRNA_BINDING,,57,0.5770388,1.5977513,0.0,0.75874686,1.0,2081,"tags=44%, list=13%, signal=50%",
