NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,
GO_IONOTROPIC_GLUTAMATE_RECEPTOR_BINDING,GO_IONOTROPIC_GLUTAMATE_RECEPTOR_BINDING,Details ...,31,-0.5885826,-1.8298528,0.0,1.0,0.488,1946,"tags=48%, list=12%, signal=55%",
GO_GLUTAMATE_RECEPTOR_BINDING,GO_GLUTAMATE_RECEPTOR_BINDING,Details ...,46,-0.6093915,-1.782753,0.0,1.0,0.692,3253,"tags=61%, list=20%, signal=76%",
GO_TELENCEPHALON_GLIAL_CELL_MIGRATION,GO_TELENCEPHALON_GLIAL_CELL_MIGRATION,Details ...,20,-0.6766754,-1.739929,0.0,1.0,0.836,1979,"tags=65%, list=12%, signal=74%",
GO_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION,GO_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION,Details ...,26,-0.65454495,-1.7246468,0.0,1.0,0.887,3360,"tags=73%, list=21%, signal=92%",
GO_OLFACTORY_LOBE_DEVELOPMENT,GO_OLFACTORY_LOBE_DEVELOPMENT,Details ...,30,-0.60718507,-1.707861,0.0,1.0,0.941,2550,"tags=50%, list=16%, signal=59%",
GO_NEURON_SPINE,GO_NEURON_SPINE,Details ...,149,-0.52089894,-1.7076324,0.0,1.0,0.941,3989,"tags=54%, list=25%, signal=72%",
GO_ACIDIC_AMINO_ACID_TRANSPORT,GO_ACIDIC_AMINO_ACID_TRANSPORT,Details ...,60,-0.569511,-1.7026211,0.0,1.0,0.941,3266,"tags=55%, list=20%, signal=69%",
GO_G_PROTEIN_COUPLED_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,GO_G_PROTEIN_COUPLED_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,Details ...,23,-0.6988251,-1.6960326,0.0,1.0,0.941,1810,"tags=57%, list=11%, signal=64%",
GO_PRESYNAPTIC_ENDOCYTOSIS,GO_PRESYNAPTIC_ENDOCYTOSIS,Details ...,54,-0.569345,-1.6949364,0.0,1.0,0.941,3926,"tags=63%, list=24%, signal=83%",
REACTOME_INTERLEUKIN_7_SIGNALING,REACTOME_INTERLEUKIN_7_SIGNALING,Details ...,18,-0.59000474,-1.6933715,0.0,0.94342726,0.941,937,"tags=22%, list=6%, signal=24%",
REACTOME_ONCOGENIC_MAPK_SIGNALING,REACTOME_ONCOGENIC_MAPK_SIGNALING,Details ...,74,-0.4477918,-1.6861185,0.0,0.98320794,0.941,2986,"tags=42%, list=19%, signal=51%",
GO_TAU_PROTEIN_KINASE_ACTIVITY,GO_TAU_PROTEIN_KINASE_ACTIVITY,Details ...,22,-0.6652137,-1.6784366,0.0,0.9951204,0.941,3012,"tags=59%, list=19%, signal=73%",
GO_VESICLE_CYTOSKELETAL_TRAFFICKING,GO_VESICLE_CYTOSKELETAL_TRAFFICKING,Details ...,47,-0.4970881,-1.677862,0.0,0.92601365,0.941,2821,"tags=45%, list=18%, signal=54%",
GO_ARF_PROTEIN_SIGNAL_TRANSDUCTION,GO_ARF_PROTEIN_SIGNAL_TRANSDUCTION,Details ...,18,-0.6652167,-1.6621968,0.0,1.0,0.941,2186,"tags=56%, list=14%, signal=64%",
GO_FOREBRAIN_NEURON_DEVELOPMENT,GO_FOREBRAIN_NEURON_DEVELOPMENT,Details ...,28,-0.6059937,-1.6556184,0.0,1.0,0.941,2272,"tags=46%, list=14%, signal=54%",
GO_GLUTAMATE_SECRETION,GO_GLUTAMATE_SECRETION,Details ...,39,-0.6445246,-1.6548307,0.0,0.9798631,0.941,3266,"tags=62%, list=20%, signal=77%",
GO_POSITIVE_REGULATION_OF_CREB_TRANSCRIPTION_FACTOR_ACTIVITY,GO_POSITIVE_REGULATION_OF_CREB_TRANSCRIPTION_FACTOR_ACTIVITY,Details ...,15,-0.6603973,-1.650471,0.0,0.98707265,0.941,1859,"tags=47%, list=12%, signal=53%",
GO_AXONAL_TRANSPORT,GO_AXONAL_TRANSPORT,Details ...,53,-0.49297586,-1.6461376,0.0,0.96629107,0.941,3143,"tags=51%, list=20%, signal=63%",
GO_PROTEIN_TRANSPORT_WITHIN_PLASMA_MEMBRANE,GO_PROTEIN_TRANSPORT_WITHIN_PLASMA_MEMBRANE,Details ...,44,-0.6047866,-1.6434097,0.0,0.95095533,0.941,2518,"tags=50%, list=16%, signal=59%",
KEGG_ERBB_SIGNALING_PATHWAY,KEGG_ERBB_SIGNALING_PATHWAY,Details ...,79,-0.50064147,-1.6417516,0.0,0.91934997,0.941,4583,"tags=62%, list=29%, signal=86%",
REACTOME_SIGNALING_BY_BRAF_AND_RAF_FUSIONS,REACTOME_SIGNALING_BY_BRAF_AND_RAF_FUSIONS,,59,-0.4219042,-1.6412861,0.0,0.8818065,0.941,2986,"tags=41%, list=19%, signal=50%",
GO_PEPTIDYL_SERINE_DEPHOSPHORYLATION,GO_PEPTIDYL_SERINE_DEPHOSPHORYLATION,,18,-0.45963377,-1.639239,0.0,0.86378926,0.941,2549,"tags=39%, list=16%, signal=46%",
GO_DENDRITIC_SHAFT,GO_DENDRITIC_SHAFT,,34,-0.67679214,-1.6386606,0.0,0.82862425,0.941,3531,"tags=68%, list=22%, signal=87%",
GO_SYNAPTIC_VESICLE_RECYCLING,GO_SYNAPTIC_VESICLE_RECYCLING,,66,-0.54067314,-1.6380413,0.0,0.7998415,0.941,3596,"tags=56%, list=22%, signal=72%",
GO_AXON_INITIAL_SEGMENT,GO_AXON_INITIAL_SEGMENT,,19,-0.78000677,-1.6340866,0.0,0.8034787,0.941,2497,"tags=79%, list=16%, signal=93%",
GO_REGULATION_OF_SYNAPTIC_PLASTICITY,GO_REGULATION_OF_SYNAPTIC_PLASTICITY,,170,-0.55540764,-1.6335492,0.0,0.7765872,0.941,2942,"tags=50%, list=18%, signal=61%",
GO_CLATHRIN_COAT_OF_COATED_PIT,GO_CLATHRIN_COAT_OF_COATED_PIT,,19,-0.5698021,-1.6322002,0.0,0.7661002,0.941,4133,"tags=58%, list=26%, signal=78%",
GO_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE,GO_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE,,20,-0.6085968,-1.6304791,0.0,0.7563598,0.941,2762,"tags=55%, list=17%, signal=66%",
REACTOME_L1CAM_INTERACTIONS,REACTOME_L1CAM_INTERACTIONS,,110,-0.48932132,-1.6296086,0.0,0.74569046,0.941,3230,"tags=45%, list=20%, signal=57%",
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY,GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY,,68,-0.59765285,-1.6260064,0.0,0.75254565,0.941,3763,"tags=60%, list=23%, signal=78%",
GO_PROTEIN_LOCALIZATION_TO_SYNAPSE,GO_PROTEIN_LOCALIZATION_TO_SYNAPSE,,76,-0.56499624,-1.625788,0.0,0.73108023,0.941,3353,"tags=59%, list=21%, signal=74%",
GO_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL,GO_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL,,27,-0.70576656,-1.6232058,0.0,0.7384329,0.941,2762,"tags=67%, list=17%, signal=80%",
